The shortest found route goes through the following cities:
(100,290)
(249,265)
(390,270)
(565,116)
(530,171)
(590,200)
(576,354)
(618,327)
(602,402)
(583,408)
(678,246)
(555,112)
(541,150)
(707,155)
(753,168)
(660,353)
(715,305)
(741,428)
(674,531)
(618,584)
(648,731)
(701,771)
(754,512)
(555,362)
(515,317)
(669,285)
(653,408)
(626,370)
(643,482)
(619,628)
(574,545)
(743,497)
(755,533)
(782,655)
(737,661)
(799,795)
(717,796)
(688,695)
(607,492)
(603,566)
(560,438)
(660,796)
(540,771)
(454,688)
(387,662)
(359,680)
(296,707)
(132,647)
(224,798)
(260,783)
(290,793)
(202,704)
(230,554)
(295,519)
(261,568)
(258,641)
(182,591)
(153,732)
(132,764)
(109,728)
(121,746)
(119,711)
(200,686)
(403,596)
(423,530)
(358,524)
(459,434)
(568,502)
(537,484)
(473,509)
(378,601)
(400,477)
(181,411)
(136,453)
(243,354)
(324,332)
(324,364)
(260,447)
(262,385)
(446,363)
(439,303)
(348,291)
(354,197)
(385,136)
(378,172)
(431,202)
(397,320)
(448,248)
(540,199)
(643,200)
(644,293)
(470,355)
(365,466)
(384,387)
(320,228)
(224,224)
(241,110)
(344,180)
(178,263)
(163,194)
